source	target
IPR016034	IPR002498
IPR027295	IPR011047
IPR003591	IPR001611
IPR017857	IPR000294
IPR013164	IPR002126
IPR013164	IPR015919
IPR027791	IPR029044
IPR027995	IPR029044
IPR024731	IPR000742
IPR013111	IPR000742
IPR000033	IPR011042
IPR008969	IPR000834
IPR014766	IPR000834
IPR003645	IPR000742
IPR000595	IPR014710
IPR000595	IPR018490
IPR014715	IPR002181
IPR006212	IPR009030
IPR019565	IPR008930
IPR001442	IPR016187
IPR012674	IPR000566
IPR012674	IPR011038
IPR018487	IPR000585
IPR012351	IPR009079
IPR008154	IPR015849
IPR002369	IPR002035
IPR017897	IPR028974
IPR017897	IPR003367
IPR018159	IPR002017
IPR014868	IPR002126
IPR014868	IPR015919
IPR027397	IPR000233
IPR017868	IPR001298
IPR017868	IPR013783
IPR017868	IPR014756
IPR000601	IPR022409
IPR000602	IPR011330
IPR011682	IPR011013
IPR013780	IPR011013
IPR027291	IPR011330
IPR028995	IPR015341
IPR000330	IPR014001
IPR000330	IPR027417
IPR006552	IPR001846
IPR001073	IPR008983